Trimestre,Indicador,Categoria,Total,Hombres,Mujeres
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.1 Grupos de ocupación,65.3985,65.9536,64.6042
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Profesionistas, técnicos y trabajadores del arte",117.0654,124.3442,108.0642
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores de la educación,142.4353,168.4233,127.9775
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Funcionarios y directivos de los sectores público, privado y social",168.8613,172.0135,164.4349
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores en actividades agrícolas, ganaderas, silvícolas y de caza y pesca",39.8052,39.6682,40.8296
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores industriales, artesanos y ayudantes",58.0737,60.9433,50.8294
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Conductores y ayudantes de conductores de maquinaria móvil y medios de transporte,62.806,62.4412,76.5882
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Oficinistas,71.5008,78.0495,66.6385
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comerciantes,54.9305,58.4924,52.3538
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios personales,54.496,52.0898,55.8177
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios de protección y vigilancia y fuerzas armadas,55.4978,52.4603,69.3736
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Otros trabajadores con ocupaciones insuficientemente especificadas,76.6854,74.7187,79.8918
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.2 Sector de actividad económica,65.3985,65.9536,64.6042
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Primario,41.0252,40.8538,42.2854
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Agricultura, ganadería, silvicultura, caza y pesca",41.0252,40.8538,42.2854
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Secundario,62.966,64.8352,58.0347
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria extractiva y de la electricidad,108.2385,76.7061,246.7425
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Construcción,64.5146,64.3156,70.8171
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria manufacturera,60.2203,64.6456,54.0565
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Terciario,70.9785,75.3707,67.021
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comercio,53.9378,57.7483,50.8211
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios,78.4309,82.5275,74.5807
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Transportes, comunicaciones, correo y almacenamiento",72.476,70.1302,86.4979
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Servicios profesionales, financieros y corporativos",89.1969,90.318,87.5101
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios sociales,116.5652,134.5867,107.2214
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios diversos,67.756,79.2914,60.3356
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios de alojamiento temporal y de preparación de alimentos y bebidas,57.253,60.5543,55.3301
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Actividades del gobierno y de organismos internacionales y extraterritoriales,82.2787,78.2486,87.6086
T1_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),No especificado,57.2828,48.4891,74.7089
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.1 Grupos de ocupación,66.2016,66.8351,65.3053
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Profesionistas, técnicos y trabajadores del arte",118.9048,128.0581,107.495
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores de la educación,120.9603,136.6595,112.8679
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Funcionarios y directivos de los sectores público, privado y social",177.6469,186.7079,165.0977
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores en actividades agrícolas, ganaderas, silvícolas y de caza y pesca",41.5475,40.5304,48.2405
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores industriales, artesanos y ayudantes",58.228,61.3393,50.2127
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Conductores y ayudantes de conductores de maquinaria móvil y medios de transporte,60.7501,60.3894,73.8267
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Oficinistas,74.3589,79.2838,70.6874
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comerciantes,56.4864,59.0069,54.6388
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios personales,56.5352,55.7645,56.9391
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios de protección y vigilancia y fuerzas armadas,63.692,58.3137,81.0113
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Otros trabajadores con ocupaciones insuficientemente especificadas,64.6501,64.9916,63.3523
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.2 Sector de actividad económica,66.2016,66.8351,65.3053
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Primario,42.5472,41.2301,51.1172
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Agricultura, ganadería, silvicultura, caza y pesca",42.5472,41.2301,51.1172
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Secundario,62.1009,64.6267,55.4838
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria extractiva y de la electricidad,84.5577,82.5597,96.2028
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Construcción,65.2848,64.7077,81.8469
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria manufacturera,59.3936,63.4788,53.7074
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Terciario,72.2754,76.7412,68.2471
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comercio,57.2413,59.7312,55.1876
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios,78.9312,83.7724,74.3884
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Transportes, comunicaciones, correo y almacenamiento",67.6338,65.8406,80.0691
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Servicios profesionales, financieros y corporativos",100.2064,102.8876,96.2943
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios sociales,108.2514,120.5144,102.0088
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios diversos,70.0998,84.6854,60.8616
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios de alojamiento temporal y de preparación de alimentos y bebidas,57.4942,61.9228,54.8898
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Actividades del gobierno y de organismos internacionales y extraterritoriales,83.1666,80.7893,86.0066
T2_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),No especificado,57.4676,55.9231,61.0139
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.1 Grupos de ocupación,64.3813,64.9534,63.5667
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Profesionistas, técnicos y trabajadores del arte",111.3054,117.4617,103.5996
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores de la educación,123.2765,135.1533,116.1816
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Funcionarios y directivos de los sectores público, privado y social",143.3535,150.4061,132.9403
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores en actividades agrícolas, ganaderas, silvícolas y de caza y pesca",41.316,40.497,47.3722
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores industriales, artesanos y ayudantes",58.4953,61.2399,51.7631
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Conductores y ayudantes de conductores de maquinaria móvil y medios de transporte,60.6164,60.1917,75.9945
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Oficinistas,73.1998,78.7197,69.2563
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comerciantes,54.5961,58.2699,51.8283
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios personales,56.7469,54.7656,57.8281
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios de protección y vigilancia y fuerzas armadas,61.4539,60.6938,64.5635
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Otros trabajadores con ocupaciones insuficientemente especificadas,69.72,72.438,64.3956
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.2 Sector de actividad económica,64.3813,64.9534,63.5667
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Primario,41.5595,40.5991,48.3723
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Agricultura, ganadería, silvicultura, caza y pesca",41.5595,40.5991,48.3723
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Secundario,61.9034,64.3785,55.5703
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria extractiva y de la electricidad,78.1699,77.0834,83.4801
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Construcción,64.3075,63.5594,86.2382
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria manufacturera,59.9774,64.4504,53.8328
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Terciario,69.53,73.2082,66.1638
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comercio,53.9735,57.3475,51.1635
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios,76.4513,79.7752,73.2797
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Transportes, comunicaciones, correo y almacenamiento",68.4892,65.1856,89.1164
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Servicios profesionales, financieros y corporativos",90.6042,93.9105,85.3862
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios sociales,107.8413,117.9862,102.7021
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios diversos,69.1797,80.0145,62.0955
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios de alojamiento temporal y de preparación de alimentos y bebidas,57.2994,58.6613,56.5216
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Actividades del gobierno y de organismos internacionales y extraterritoriales,82.4474,81.8875,83.1601
T3_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),No especificado,56.3018,57.5521,54.3188
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.1 Grupos de ocupación,66.9087,67.4943,66.0872
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Profesionistas, técnicos y trabajadores del arte",118.0809,125.2585,109.2727
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores de la educación,117.6345,130.8246,110.8242
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Funcionarios y directivos de los sectores público, privado y social",150.2202,162.9487,131.6884
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores en actividades agrícolas, ganaderas, silvícolas y de caza y pesca",41.525,41.2265,43.6529
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Trabajadores industriales, artesanos y ayudantes",59.5579,62.3755,52.2206
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Conductores y ayudantes de conductores de maquinaria móvil y medios de transporte,62.8772,62.6807,70.6959
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Oficinistas,73.2943,76.9623,70.7052
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comerciantes,57.4689,61.0836,54.7331
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios personales,58.3494,57.1396,58.9789
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Trabajadores en servicios de protección y vigilancia y fuerzas armadas,66.7674,63.7425,78.5818
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Otros trabajadores con ocupaciones insuficientemente especificadas,58.15,59.1435,52.2389
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),6.2 Sector de actividad económica,66.9087,67.4943,66.0872
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Primario,42.3911,41.8995,45.8864
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Agricultura, ganadería, silvicultura, caza y pesca",42.3911,41.8995,45.8864
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Secundario,62.7987,65.2081,56.4267
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria extractiva y de la electricidad,82.5114,81.3526,89.1804
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Construcción,65.6192,65.1449,79.5377
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Industria manufacturera,60.4961,64.4215,54.9709
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Terciario,72.6586,76.6469,69.0342
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Comercio,56.5332,59.4282,54.1263
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios,79.6435,83.6184,75.89
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Transportes, comunicaciones, correo y almacenamiento",69.8531,68.1974,80.563
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),"Servicios profesionales, financieros y corporativos",96.1001,98.8247,92.2006
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios sociales,108.0605,117.3136,103.338
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios diversos,71.6421,84.2136,63.3449
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Servicios de alojamiento temporal y de preparación de alimentos y bebidas,59.4248,62.9223,57.4097
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),Actividades del gobierno y de organismos internacionales y extraterritoriales,84.363,82.9955,86.0829
T4_2025,Promedio de ingreso por hora trabajada (poblacion ocupada),No especificado,57.5475,58.2455,56.053
