anio,trimestre,ingreso_hombres,ingreso_mujeres,brecha_salarial
2005,I,7421.18,5353.32,0.27864301903470884
2005,II,7410.56,5356.61,0.2771652884532344
2005,III,7318.11,5423.9,0.25883868922440356
2005,IV,7540.13,5587.89,0.2589133078607398
2006,I,7572.22,5631.87,0.25624585656518173
2006,II,7654.53,5672.52,0.2589329455890825
2006,III,7734.31,5698.6,0.26320512107738114
2006,IV,7593.16,5565.39,0.267052189075431
2007,I,7673.48,5661.02,0.26226171176571766
2007,II,7812.78,5697.51,0.2707448565043428
2007,III,7664.61,5742.51,0.25077596903169236
2007,IV,7506.99,5477.63,0.2703293863452595
2008,I,7691.19,5592.41,0.2728810496165093
2008,II,7576.58,5590.82,0.2620918673068852
2008,III,7419.35,5545.05,0.2526232082325271
2008,IV,7133.33,5348.79,0.2501692757800354
2009,I,7218.32,5463.36,0.2431258242915249
2009,II,7148.18,5462.59,0.23580687671547165
2009,III,6881.76,5285.93,0.2318927134918974
2009,IV,6666.51,5076.62,0.23848910449395566
2010,I,6898.79,5169.15,0.2507164299826492
2010,II,6825.31,5202.95,0.23769762838611
2010,III,6770.16,5242.06,0.22571106148156017
2010,IV,6653.13,5200.83,0.21828823425966426
2011,I,6796.45,5272.1,0.22428620824106696
2011,II,6768.12,5219.79,0.22876810694845837
2011,III,6711.04,5183.81,0.22756979544154105
2011,IV,6510.59,4970.99,0.23647626405594582
2012,I,6692.09,5184.87,0.22522410786465816
2012,II,6677.22,5134.33,0.23106771979955734
2012,III,6576.14,5058.38,0.23079800612517376
2012,IV,6576.84,5105.93,0.22364995955504466
2013,I,6743.6,5206.71,0.2279034936828994
2013,II,6516.52,5132.86,0.2123311215188476
2013,III,6429.98,5142.84,0.2001779165720577
2013,IV,6427.7,4966.35,0.2273519299282791
2014,I,6392.82,5010.37,0.21625041843818532
2014,II,6282.68,4980.89,0.20720297707347818
2014,III,6236.81,4963.47,0.20416527038662394
2014,IV,6148.14,4829.8,0.21442907936384012
2015,I,6327.47,4967.84,0.21487735224347174
2015,II,6359.37,4965.56,0.21917422637777004
2015,III,6431.23,5075.91,0.21074040269124256
2015,IV,6385.54,4921.09,0.22933847411495345
2016,I,6520.58,5068.1,0.22275319066708782
2016,II,6537.02,5130.02,0.21523568843295568
2016,III,6628.6,5120.14,0.2275684156533808
2016,IV,6554.14,5108.08,0.22063306551279044
2017,I,6592.06,5171.8,0.2154501020925174
2017,II,6543.55,5150.15,0.21294251591261631
2017,III,6471.32,5129.34,0.20737345703813126
2017,IV,6392.86,4983.61,0.2204412422608973
2018,I,6621.87,5208.51,0.2134381979712679
2018,II,6640.88,5242.16,0.2106226885593476
2018,III,6533.68,5149.72,0.2118193728496039
2018,IV,6481.87,5071.78,0.21754370266605164
2019,I,6734.27,5207.1,0.2267758791970028
2019,II,6712.09,5227.02,0.2212529927340068
2019,III,6665.16,5189.9,0.22133902261911195
2019,IV,6736.55,5204.84,0.2273730618788549
2020,I,7117.17,5531.62,0.22277815480029284
2020,III,6625.27,5601.25,0.15456275744233824
2020,IV,6801.05,5535.24,0.18611979032649376
2021,I,6998.67,5746.5,0.1789154225017039
2021,II,6951.83,5560.91,0.20007969124676525
2021,III,6916.17,5581.78,0.19293770974397684
2021,IV,6835.84,5447.65,0.20307526214773905
2022,I,7169.93,5763.28,0.19618741047681085
2022,II,7124.25,5655.87,0.20611011685440575
2022,III,6893.67,5578.38,0.19079677443219648
2022,IV,7067.65,5522.43,0.21863278458893684
2023,I,7480.62,5860.84,0.2165301806534752
2023,II,7528.17,5935.87,0.2115122267430199
2023,III,7583.29,5971.4,0.2125581376948528
2023,IV,7598.45,6013.84,0.20854384775842438
2024,I,8029.47,6296.22,0.21586107177684205
2024,II,8137.81,6450.51,0.20734079561946028
2024,III,8067.53,6433.15,0.20258740903349604
2024,IV,8025.83,6431.81,0.19861123397829253
