fecha,anio,trimestre,pob_jefatura_nal,pob_jefatura_hombres,pob_jefatura_mujeres,ing_jefatura_nal,ing_jefatura_hombres,ing_jefatura_mujeres,ingreso_hombres,ingreso_mujeres,brecha_salarial,pobreza_total,pobreza_formal,pobreza_informal,ingreso_total,ingreso_formal,ingreso_informal,pobreza_hombres,pobreza_mujeres
2005-01-01,2005,I,38.1,36.2,45.2,2605.92,2700.4,2268.47,7421.18,5353.32,0.2786430190347088,16.5,0.8,26.8,6677.89,10360.99,4246.08,14.0,20.9
2005-04-01,2005,II,38.8,36.4,46.7,2608.59,2710.83,2285.59,7410.56,5356.61,0.2771652884532344,17.1,0.9,27.7,6651.84,10347.07,4234.24,14.5,21.6
2005-07-01,2005,III,38.1,35.5,46.8,2641.13,2747.83,2271.76,7318.11,5423.9,0.2588386892244035,17.6,0.9,28.3,6618.29,10479.46,4151.38,15.0,22.1
2005-10-01,2005,IV,36.6,34.4,43.8,2729.02,2838.33,2357.85,7540.13,5587.89,0.2589133078607398,16.1,0.7,26.1,6813.61,10674.35,4319.45,13.5,20.6
2006-01-01,2006,I,36.2,34.0,43.7,2722.13,2821.1,2386.72,7572.22,5631.87,0.2562458565651817,15.6,0.7,25.6,6851.87,10610.62,4331.74,13.1,19.8
2006-04-01,2006,II,35.2,32.8,42.8,2783.78,2894.6,2423.35,7654.53,5672.52,0.2589329455890825,15.7,0.6,25.5,6919.19,10697.64,4446.31,13.3,19.7
2006-07-01,2006,III,35.8,33.5,43.2,2828.56,2945.92,2432.37,7734.31,5698.6,0.2632051210773811,16.4,0.7,27.0,6972.37,10845.47,4341.55,13.8,20.7
2006-10-01,2006,IV,36.3,34.2,43.3,2772.54,2886.37,2388.75,7593.16,5565.39,0.267052189075431,16.1,0.7,26.6,6832.15,10514.75,4295.17,13.5,20.2
2007-01-01,2007,I,36.5,34.3,43.3,2768.23,2874.17,2416.61,7673.48,5661.02,0.2622617117657176,15.5,0.6,25.9,6920.56,10656.11,4321.2,13.0,19.7
2007-04-01,2007,II,34.7,32.4,41.7,2833.26,2944.79,2479.18,7812.78,5697.51,0.2707448565043428,15.6,0.7,25.7,7018.15,10767.8,4443.21,13.2,19.5
2007-07-01,2007,III,35.3,33.2,41.7,2798.32,2901.06,2485.49,7664.61,5742.51,0.2507759690316923,16.1,0.7,26.8,6940.37,10669.78,4361.85,13.7,20.1
2007-10-01,2007,IV,36.5,34.3,43.4,2792.74,2889.38,2492.8,7506.99,5477.63,0.2703293863452595,17.8,0.8,29.1,6732.91,10485.02,4241.14,14.7,22.8
2008-01-01,2008,I,36.6,34.7,42.8,2786.45,2873.86,2505.62,7691.19,5592.41,0.2728810496165093,16.2,0.7,26.9,6899.63,10524.99,4402.72,13.3,21.0
2008-04-01,2008,II,36.1,34.3,41.8,2785.54,2862.24,2542.26,7576.58,5590.82,0.2620918673068852,16.2,0.8,26.5,6828.08,10424.86,4413.53,13.4,20.8
2008-07-01,2008,III,37.6,35.9,43.1,2723.96,2808.74,2446.46,7419.35,5545.05,0.2526232082325271,16.8,0.8,27.6,6718.85,10325.68,4278.57,14.2,21.1
2008-10-01,2008,IV,39.3,37.4,45.3,2587.34,2651.63,2403.0,7133.33,5348.79,0.2501692757800354,17.0,0.8,27.7,6463.46,9860.7,4211.71,14.3,21.4
2009-01-01,2009,I,38.9,37.1,44.6,2599.77,2673.43,2369.61,7218.32,5463.36,0.2431258242915249,15.4,0.7,25.1,6562.44,9901.96,4353.7,12.8,19.6
2009-04-01,2009,II,40.4,38.8,46.2,2597.54,2656.28,2376.07,7148.18,5462.59,0.2358068767154716,16.3,0.8,26.2,6513.67,10032.38,4270.04,14.1,20.1
2009-07-01,2009,III,40.8,39.3,46.6,2531.6,2591.25,2313.45,6881.76,5285.93,0.2318927134918974,17.2,0.7,27.5,6271.18,9791.3,4076.8,14.7,21.3
2009-10-01,2009,IV,40.3,38.8,46.1,2480.38,2545.86,2240.0,6666.51,5076.62,0.2384891044939556,17.7,0.7,28.0,6058.91,9458.69,3977.35,14.9,22.1
2010-01-01,2010,I,41.3,39.8,46.7,2483.65,2555.24,2221.86,6898.79,5169.15,0.2507164299826492,16.2,0.9,25.9,6246.33,9609.07,4113.54,13.3,20.9
2010-04-01,2010,II,40.1,38.6,45.7,2528.56,2604.95,2247.97,6825.31,5202.95,0.23769762838611,16.9,0.9,26.8,6210.37,9707.29,4041.23,14.3,21.2
2010-07-01,2010,III,40.1,38.6,45.6,2503.29,2570.0,2258.37,6770.16,5242.06,0.2257110614815601,17.3,0.8,27.7,6190.69,9580.12,4040.29,14.6,21.6
2010-10-01,2010,IV,41.7,40.2,47.2,2418.11,2480.67,2187.78,6653.13,5200.83,0.2182882342596642,16.6,1.0,26.6,6109.29,9308.43,4067.38,14.4,20.3
2011-01-01,2011,I,40.0,38.5,45.6,2473.78,2545.64,2210.18,6796.45,5272.1,0.2242862082410669,15.2,0.8,24.4,6227.62,9395.44,4200.98,12.7,19.4
2011-04-01,2011,II,39.9,38.6,44.7,2496.81,2562.55,2257.94,6768.12,5219.79,0.2287681069484583,15.8,0.8,25.3,6185.15,9454.82,4118.86,13.2,20.1
2011-07-01,2011,III,40.6,39.4,44.9,2487.08,2545.63,2275.2,6711.04,5183.81,0.227569795441541,16.5,0.9,26.2,6134.41,9447.15,4093.56,13.8,21.1
2011-10-01,2011,IV,41.5,40.1,46.4,2444.09,2499.48,2243.96,6510.59,4970.99,0.2364762640559458,17.5,0.9,27.7,5913.17,9167.09,3927.82,14.6,22.1
2012-01-01,2012,I,40.8,39.3,46.1,2475.52,2532.58,2269.06,6692.09,5184.87,0.2252241078646581,15.7,0.9,25.0,6117.38,9277.03,4137.86,12.9,20.3
2012-04-01,2012,II,40.0,38.7,44.8,2531.97,2589.6,2322.82,6677.22,5134.33,0.2310677197995573,16.6,0.9,26.2,6082.49,9339.84,4074.53,13.8,20.9
2012-07-01,2012,III,42.0,40.4,47.6,2507.63,2570.07,2283.96,6576.14,5058.38,0.2307980061251737,17.6,1.0,27.8,5992.11,9272.29,3994.35,14.6,22.4
2012-10-01,2012,IV,42.7,41.4,47.0,2463.57,2532.93,2217.9,6576.84,5105.93,0.2236499595550446,17.3,0.8,27.4,6008.75,9230.29,4027.87,14.8,21.2
2013-01-01,2013,I,41.7,40.4,46.3,2492.87,2559.23,2253.45,6743.6,5206.71,0.2279034936828994,15.3,0.8,24.5,6159.8,9349.13,4131.49,12.9,19.1
2013-04-01,2013,II,42.3,41.2,46.4,2465.97,2523.3,2257.23,6516.52,5132.86,0.2123311215188476,16.3,0.8,26.2,5983.38,9120.59,3995.2,14.0,20.1
2013-07-01,2013,III,42.9,41.7,47.4,2441.77,2494.14,2259.19,6429.98,5142.84,0.2001779165720577,17.0,0.9,27.1,5933.69,9119.21,3936.2,14.9,20.4
2013-10-01,2013,IV,42.8,41.7,46.6,2447.39,2507.56,2234.8,6427.7,4966.35,0.2273519299282791,17.2,1.0,27.5,5864.14,8922.03,3924.93,14.7,21.3
2014-01-01,2014,I,42.8,41.6,47.4,2394.91,2458.9,2165.92,6392.82,5010.37,0.2162504184381853,15.6,0.9,25.3,5867.52,8804.82,3937.27,13.1,19.7
2014-04-01,2014,II,42.9,41.3,48.5,2358.27,2425.07,2118.8,6282.68,4980.89,0.2072029770734781,16.2,1.0,26.3,5787.92,8683.07,3858.91,13.8,20.1
2014-07-01,2014,III,43.8,42.4,48.6,2348.07,2411.55,2127.41,6236.81,4963.47,0.2041652703866239,16.8,0.9,27.3,5756.44,8733.2,3812.58,14.7,20.4
2014-10-01,2014,IV,45.4,44.4,48.9,2311.18,2360.65,2141.42,6148.14,4829.8,0.2144290793638401,18.0,1.1,29.0,5649.47,8519.48,3779.63,15.1,22.8
2015-01-01,2015,I,43.8,42.3,48.9,2367.05,2419.4,2187.31,6327.47,4967.84,0.2148773522434717,16.6,1.0,26.9,5812.16,8641.21,3939.66,13.8,21.2
2015-04-01,2015,II,44.0,42.7,48.3,2394.32,2452.54,2196.93,6359.37,4965.56,0.21917422637777,17.1,0.9,27.8,5830.02,8773.11,3896.46,14.1,22.1
2015-07-01,2015,III,43.5,42.1,47.8,2450.87,2500.93,2283.09,6431.23,5075.91,0.2107404026912425,17.3,1.1,27.9,5914.23,8930.85,3936.83,14.4,21.9
2015-10-01,2015,IV,43.3,42.0,47.5,2439.79,2501.8,2237.71,6385.54,4921.09,0.2293384741149534,17.3,1.0,27.7,5819.86,8779.01,3919.87,14.1,22.3
2016-01-01,2016,I,42.9,41.6,47.1,2444.53,2495.77,2274.74,6520.58,5068.1,0.2227531906670878,15.6,1.0,25.4,5966.52,8772.71,4098.41,12.7,20.4
2016-04-01,2016,II,41.9,40.6,46.3,2479.51,2527.58,2320.66,6537.02,5130.02,0.2152356884329556,15.9,1.0,25.9,5997.26,8886.62,4063.8,13.2,20.3
2016-07-01,2016,III,41.1,39.5,46.0,2538.88,2602.01,2334.45,6628.6,5120.14,0.2275684156533808,16.1,1.0,26.1,6047.74,8958.73,4102.9,13.1,20.7
2016-10-01,2016,IV,41.4,40.2,45.4,2512.86,2561.79,2356.38,6554.14,5108.08,0.2206330655127904,15.4,0.8,25.2,5998.1,8798.62,4117.39,12.7,19.9
2017-01-01,2017,I,40.2,38.8,44.4,2518.86,2575.66,2335.41,6592.06,5171.8,0.2154501020925174,14.4,1.0,23.4,6049.37,8792.74,4206.75,11.6,18.9
2017-04-01,2017,II,41.5,40.0,46.2,2506.41,2574.16,2291.58,6543.55,5150.15,0.2129425159126163,15.0,0.9,24.7,6010.4,8786.35,4105.03,12.5,19.1
2017-07-01,2017,III,42.6,41.1,47.3,2488.28,2549.81,2292.2,6471.32,5129.34,0.2073734570381312,15.2,1.0,24.7,5959.51,8727.38,4122.27,12.9,19.0
2017-10-01,2017,IV,42.5,41.0,47.1,2452.3,2521.15,2233.82,6392.86,4983.61,0.2204412422608973,15.5,1.1,24.9,5853.52,8567.57,4065.15,12.7,19.9
2018-01-01,2018,I,40.7,39.3,44.9,2539.85,2604.8,2334.86,6621.87,5208.51,0.2134381979712679,14.0,1.0,22.9,6080.89,8744.12,4274.24,11.4,18.3
2018-04-01,2018,II,40.1,38.5,45.0,2584.4,2647.44,2387.77,6640.88,5242.16,0.2106226885593476,14.5,0.9,23.8,6101.52,8848.04,4233.48,11.9,18.8
2018-07-01,2018,III,40.2,38.6,45.2,2553.49,2631.93,2311.5,6533.68,5149.72,0.2118193728496039,14.9,0.9,24.4,6004.29,8746.33,4161.49,12.4,19.1
2018-10-01,2018,IV,40.7,39.2,45.2,2524.96,2592.65,2319.51,6481.87,5071.78,0.2175437026660516,14.8,0.9,24.2,5933.52,8589.9,4143.64,12.1,19.1
2019-01-01,2019,I,39.6,38.0,44.4,2607.01,2678.82,2392.38,6734.27,5207.1,0.2267758791970028,14.4,0.9,23.5,6142.57,8866.67,4286.92,11.4,19.1
2019-04-01,2019,II,39.0,37.3,43.9,2642.74,2718.29,2421.84,6712.09,5227.02,0.2212529927340068,14.7,1.3,24.1,6128.58,8816.69,4249.59,11.7,19.4
2019-07-01,2019,III,39.6,38.1,44.0,2637.52,2703.97,2444.71,6665.16,5189.9,0.2213390226191119,15.2,1.6,24.5,6085.84,8750.33,4254.64,12.5,19.3
2019-10-01,2019,IV,38.9,37.3,43.4,2671.49,2746.67,2456.3,6736.55,5204.84,0.2273730618788549,14.6,1.4,23.8,6127.79,8807.77,4239.9,11.7,18.9
2020-01-01,2020,I,36.6,35.1,41.1,2806.61,2881.83,2594.44,7117.17,5531.62,0.2227781548002928,12.1,1.1,20.1,6486.05,9195.97,4524.19,9.8,15.7
2020-04-01,2020,II,,,,,,,,,,,,,,,,,
2020-07-01,2020,III,46.0,44.5,50.3,2460.5,2535.52,2253.08,6625.27,5601.25,0.1545627574423382,13.7,1.0,23.2,6235.77,8999.89,4159.31,12.1,16.2
2020-10-01,2020,IV,42.0,40.6,45.5,2603.83,2682.84,2392.7,6801.05,5535.24,0.1861197903264937,13.1,0.7,22.0,6305.08,9082.95,4302.27,11.1,16.3
2021-01-01,2021,I,42.0,40.5,46.2,2671.44,2757.08,2438.82,6998.67,5746.5,0.1789154225017039,12.9,1.0,21.7,6515.04,9277.99,4453.12,10.7,16.2
2021-04-01,2021,II,39.9,38.4,43.9,2747.68,2837.07,2508.58,6951.83,5560.91,0.2000796912467652,13.3,1.0,22.0,6404.13,9171.19,4441.45,10.9,17.0
2021-07-01,2021,III,40.7,39.4,44.4,2769.23,2861.9,2524.23,6916.17,5581.78,0.1929377097439768,13.7,0.9,22.8,6390.6,9211.04,4405.22,11.6,17.1
2021-10-01,2021,IV,40.3,38.7,44.4,2745.32,2834.76,2514.38,6835.84,5447.65,0.203075262147739,13.1,1.3,21.6,6284.85,8951.91,4379.58,11.0,16.5
2022-01-01,2022,I,38.8,37.0,43.4,2850.25,2922.26,2667.58,7169.93,5763.28,0.1961874104768108,12.1,1.0,20.3,6611.78,9305.82,4623.27,9.9,15.5
2022-04-01,2022,II,38.3,36.8,42.1,2880.91,2970.39,2656.68,7124.25,5655.87,0.2061101168544057,12.3,0.7,20.6,6534.04,9311.8,4544.1,10.0,15.8
2022-07-01,2022,III,40.1,38.4,44.3,2807.49,2901.75,2572.53,6893.67,5578.38,0.1907967744321964,13.0,0.8,21.8,6367.66,9061.82,4444.86,10.8,16.4
2022-10-01,2022,IV,38.5,36.6,43.0,2862.65,2953.47,2640.33,7067.65,5522.43,0.2186327845889368,12.7,0.8,21.4,6436.77,9077.72,4519.85,10.3,16.3
2023-01-01,2023,I,37.7,36.0,42.0,3058.6,3154.88,2825.13,7480.62,5860.84,0.2165301806534752,12.5,1.1,20.9,6820.85,9553.94,4790.76,9.8,16.3
2023-04-01,2023,II,37.8,35.8,42.6,3076.13,3204.12,2775.62,7528.17,5935.87,0.2115122267430199,12.8,1.0,21.5,6875.72,9720.93,4784.79,10.0,16.8
2023-07-01,2023,III,37.3,35.5,41.5,3124.26,3244.73,2844.03,7583.29,5971.4,0.2125581376948528,13.0,1.0,21.8,6921.75,9817.49,4791.46,10.4,16.8
2023-10-01,2023,IV,37.0,35.3,41.1,3139.61,3251.7,2880.86,7598.45,6013.84,0.2085438477584243,12.5,1.0,21.1,6945.33,9827.52,4799.28,10.0,16.2
2024-01-01,2024,I,35.8,33.9,40.1,3277.58,3411.01,2966.75,8029.47,6296.22,0.215861071776842,12.0,1.1,20.3,7318.09,10280.68,5051.33,9.2,15.9
2024-04-01,2024,II,35.0,33.3,38.9,3350.84,3454.15,3113.58,8137.81,6450.51,0.2073407956194602,12.0,0.8,20.4,7441.06,10513.82,5119.51,9.4,15.7
2024-07-01,2024,III,35.1,33.2,39.4,3346.45,3470.34,3062.03,8067.53,6433.15,0.202587409033496,12.5,0.7,21.2,7397.27,10583.78,5018.76,9.9,16.1
2024-10-01,2024,IV,35.4,33.6,39.5,3294.97,3410.98,3034.24,8025.83,6431.81,0.1986112339782925,11.9,0.8,20.1,7363.33,10349.13,5146.34,9.7,15.0
