,,,,,,,,,,,
,,Año,Trimestre,,"Indicadores de pobreza laboral en la población ocupada1, según situación de formalidad
Primer trimestre de 2005 al cuarto trimestre de 2024",,,,,,
,,,,,Porcentaje de la población ocupada en pobreza laboral ,,,,Ingreso laboral promedio de la población ocupada a pesos constantes2 (real),,
,,,,,Total de ocupados,Situación de formalidad,,,Total de ocupados,Situación de formalidad,
,,,,,,Formal,Informal,,,Formal,Informal
,,,,,,,,,,,
,,,,,,,,,,,
,,2005,I,,16.5,0.8,26.8,," $6,677.89 "," $10,360.99 "," $4,246.08 "
,,,II,,17.1,0.9,27.7,," $6,651.84 "," $10,347.07 "," $4,234.24 "
,,,III,,17.6,0.9,28.3,," $6,618.29 "," $10,479.46 "," $4,151.38 "
,,,IV,,16.1,0.7,26.1,," $6,813.61 "," $10,674.35 "," $4,319.45 "
,,2006,I,,15.6,0.7,25.6,," $6,851.87 "," $10,610.62 "," $4,331.74 "
,,,II,,15.7,0.6,25.5,," $6,919.19 "," $10,697.64 "," $4,446.31 "
,,,III,,16.4,0.7,27.0,," $6,972.37 "," $10,845.47 "," $4,341.55 "
,,,IV,,16.1,0.7,26.6,," $6,832.15 "," $10,514.75 "," $4,295.17 "
,,2007,I,,15.5,0.6,25.9,," $6,920.56 "," $10,656.11 "," $4,321.20 "
,,,II,,15.6,0.7,25.7,," $7,018.15 "," $10,767.80 "," $4,443.21 "
,,,III,,16.1,0.7,26.8,," $6,940.37 "," $10,669.78 "," $4,361.85 "
,,,IV,,17.8,0.8,29.1,," $6,732.91 "," $10,485.02 "," $4,241.14 "
,,2008,I,,16.2,0.7,26.9,," $6,899.63 "," $10,524.99 "," $4,402.72 "
,,,II,,16.2,0.8,26.5,," $6,828.08 "," $10,424.86 "," $4,413.53 "
,,,III,,16.8,0.8,27.6,," $6,718.85 "," $10,325.68 "," $4,278.57 "
,,,IV,,17.0,0.8,27.7,," $6,463.46 "," $9,860.70 "," $4,211.71 "
,,2009,I,,15.4,0.7,25.1,," $6,562.44 "," $9,901.96 "," $4,353.70 "
,,,II,,16.3,0.8,26.2,," $6,513.67 "," $10,032.38 "," $4,270.04 "
,,,III,,17.2,0.7,27.5,," $6,271.18 "," $9,791.30 "," $4,076.80 "
,,,IV,,17.7,0.7,28.0,," $6,058.91 "," $9,458.69 "," $3,977.35 "
,,2010,I,,16.2,0.9,25.9,," $6,246.33 "," $9,609.07 "," $4,113.54 "
,,,II,,16.9,0.9,26.8,," $6,210.37 "," $9,707.29 "," $4,041.23 "
,,,III,,17.3,0.8,27.7,," $6,190.69 "," $9,580.12 "," $4,040.29 "
,,,IV,,16.6,1.0,26.6,," $6,109.29 "," $9,308.43 "," $4,067.38 "
,,2011,I,,15.2,0.8,24.4,," $6,227.62 "," $9,395.44 "," $4,200.98 "
,,,II,,15.8,0.8,25.3,," $6,185.15 "," $9,454.82 "," $4,118.86 "
,,,III,,16.5,0.9,26.2,," $6,134.41 "," $9,447.15 "," $4,093.56 "
,,,IV,,17.5,0.9,27.7,," $5,913.17 "," $9,167.09 "," $3,927.82 "
,,2012,I,,15.7,0.9,25.0,," $6,117.38 "," $9,277.03 "," $4,137.86 "
,,,II,,16.6,0.9,26.2,," $6,082.49 "," $9,339.84 "," $4,074.53 "
,,,III,,17.6,1.0,27.8,," $5,992.11 "," $9,272.29 "," $3,994.35 "
,,,IV,,17.3,0.8,27.4,," $6,008.75 "," $9,230.29 "," $4,027.87 "
,,2013,I,,15.3,0.8,24.5,," $6,159.80 "," $9,349.13 "," $4,131.49 "
,,,II,,16.3,0.8,26.2,," $5,983.38 "," $9,120.59 "," $3,995.20 "
,,,III,,17.0,0.9,27.1,," $5,933.69 "," $9,119.21 "," $3,936.20 "
,,,IV,,17.2,1.0,27.5,," $5,864.14 "," $8,922.03 "," $3,924.93 "
,,2014,I,,15.6,0.9,25.3,," $5,867.52 "," $8,804.82 "," $3,937.27 "
,,,II,,16.2,1.0,26.3,," $5,787.92 "," $8,683.07 "," $3,858.91 "
,,,III,,16.8,0.9,27.3,," $5,756.44 "," $8,733.20 "," $3,812.58 "
,,,IV,,18.0,1.1,29.0,," $5,649.47 "," $8,519.48 "," $3,779.63 "
,,2015,I,,16.6,1.0,26.9,," $5,812.16 "," $8,641.21 "," $3,939.66 "
,,,II,,17.1,0.9,27.8,," $5,830.02 "," $8,773.11 "," $3,896.46 "
,,,III,,17.3,1.1,27.9,," $5,914.23 "," $8,930.85 "," $3,936.83 "
,,,IV,,17.3,1.0,27.7,," $5,819.86 "," $8,779.01 "," $3,919.87 "
,,2016,I,,15.6,1.0,25.4,," $5,966.52 "," $8,772.71 "," $4,098.41 "
,,,II,,15.9,1.0,25.9,," $5,997.26 "," $8,886.62 "," $4,063.80 "
,,,III,,16.1,1.0,26.1,," $6,047.74 "," $8,958.73 "," $4,102.90 "
,,,IV,,15.4,0.8,25.2,," $5,998.10 "," $8,798.62 "," $4,117.39 "
,,2017,I,,14.4,1.0,23.4,," $6,049.37 "," $8,792.74 "," $4,206.75 "
,,,II,,15.0,0.9,24.7,," $6,010.40 "," $8,786.35 "," $4,105.03 "
,,,III,,15.2,1.0,24.7,," $5,959.51 "," $8,727.38 "," $4,122.27 "
,,,IV,,15.5,1.1,24.9,," $5,853.52 "," $8,567.57 "," $4,065.15 "
,,2018,I,,14.0,1.0,22.9,," $6,080.89 "," $8,744.12 "," $4,274.24 "
,,,II,,14.5,0.9,23.8,," $6,101.52 "," $8,848.04 "," $4,233.48 "
,,,III,,14.9,0.9,24.4,," $6,004.29 "," $8,746.33 "," $4,161.49 "
,,,IV,,14.8,0.9,24.2,," $5,933.52 "," $8,589.90 "," $4,143.64 "
,,2019,I,,14.4,0.9,23.5,," $6,142.57 "," $8,866.67 "," $4,286.92 "
,,,II,,14.7,1.3,24.1,," $6,128.58 "," $8,816.69 "," $4,249.59 "
,,,III,,15.2,1.6,24.5,," $6,085.84 "," $8,750.33 "," $4,254.64 "
,,,IV,,14.6,1.4,23.8,," $6,127.79 "," $8,807.77 "," $4,239.90 "
,,2020,I,,12.1,1.1,20.1,," $6,486.05 "," $9,195.97 "," $4,524.19 "
,,,ll*,,ND,ND,ND,,ND,ND,ND
,,,III,,13.7,1.0,23.2,," $6,235.77 "," $8,999.89 "," $4,159.31 "
,,,IV,,13.1,0.7,22.0,," $6,305.08 "," $9,082.95 "," $4,302.27 "
,,2021,I,,12.9,1.0,21.7,," $6,515.04 "," $9,277.99 "," $4,453.12 "
,,,II,,13.3,1.0,22.0,," $6,404.13 "," $9,171.19 "," $4,441.45 "
,,,III,,13.7,0.9,22.8,," $6,390.60 "," $9,211.04 "," $4,405.22 "
,,,IV,,13.1,1.3,21.6,," $6,284.85 "," $8,951.91 "," $4,379.58 "
,,2022,I,,12.1,1.0,20.3,," $6,611.78 "," $9,305.82 "," $4,623.27 "
,,,II,,12.3,0.7,20.6,," $6,534.04 "," $9,311.80 "," $4,544.10 "
,,,III,,13.0,0.8,21.8,," $6,367.66 "," $9,061.82 "," $4,444.86 "
,,,IV,,12.7,0.8,21.4,," $6,436.77 "," $9,077.72 "," $4,519.85 "
,,2023,I,,12.5,1.1,20.9,," $6,820.85 "," $9,553.94 "," $4,790.76 "
,,,II,,12.8,1.0,21.5,," $6,875.72 "," $9,720.93 "," $4,784.79 "
,,,III,,13.0,1.0,21.8,," $6,921.75 "," $9,817.49 "," $4,791.46 "
,,,IV**,,12.5,1.0,21.1,," $6,945.33 "," $9,827.52 "," $4,799.28 "
,,2024,I,,12.0,1.1,20.3,," $7,318.09 "," $10,280.68 "," $5,051.33 "
,,,II,,12.0,0.8,20.4,," $7,441.06 "," $10,513.82 "," $5,119.51 "
,,,III,,12.5,0.7,21.2,," $7,397.27 "," $10,583.78 "," $5,018.76 "
,,,IV,,11.9,0.8,20.1,," $7,363.33 "," $10,349.13 "," $5,146.34 "
,,,,,,,,,,,
,,"Fuente: estimaciones del CONEVAL con base en la ENOE del primer trimestre de 2005 al primer trimestre de 2020 y a partir del primer trimestre de 2023 en adelante, y con base en la ENOE Nueva Edición (ENOEN) del tercer trimestre de 2020 al cuarto trimestre de 2022. ",,,,,,,,,
,,"1 Esta información es generada para la población ocupada, no es comparable con la información para la población total presentada del cuadro 1 al cuadro 13.",,,,,,,,,
,,2 Pesos del 1er trimestre de 2020 (deflactado con el INPC).,,,,,,,,,
,,"*Debido a la contingencia sanitaria por la COVID-19, el INEGI suspendió la recolección de información de la ENOE referente al segundo trimestre 2020, por lo cual no se cuenta con el insumo necesario para el cálculo de los indicadores correspondientes a este periodo. Para mayor información, consultar el comunicado NÚM. 295/20 del INEGI, disponible en: https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2020/Calendario/Camb20-Cal2021_1erSem.pdf",,,,,,,,,
,,"**De acuerdo con el INEGI, a causa del impacto del huracán Otis en la ciudad de Acapulco de Juárez en el estado de Guerrero la captación de la información del cuarto trimestre de 2023 se vio afectada, por lo que no se realiza la comparación con dicho trimestre. Para más información, consultar la siguiente liga: https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2024/ENOE/ENOE2024_02.pdf.",,,,,,,,,
,,"De acuerdo con el INEGI, a partir del primer trimestre de 2006 se consideran las estimaciones poblacionales trimestrales generadas por el Marco de Muestreo de Viviendas 2020 del INEGI. La información del primer al cuarto trimestre de 2005 toma en cuenta la estimación de población con base en las proyecciones demográficas de CONAPO 2013.",,,,,,,,,
,,ND: no disponible derivado de lo referido en las notas anteriores. ,,,,,,,,,
